ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0001-9987-9729,0,16,1,4,0.205882353,0,1,-0.143382353
0000-0001-9992-9300,1,2,1,5,0.041666667,0,1,0.049242424
0000-0002-0007-6481,0,0,1,0,0,0,1,0.020833333
0000-0002-0023-3715,0,12,1,12,0.072289157,3,1,-0.024670109
0000-0002-0033-2262,1,5,1,4,0.089285714,0,1,-0.030462185
0000-0002-0038-0694,0,16,1,8,0.4,0,1,0.183333333
0000-0002-0040-6022,0,0,1,0,0,0,0,0.02173913
0000-0002-0052-9364,0,35,1,9,0.178571429,3,1,1.188095238
0000-0002-0072-475X,1,0,1,0,0,0,0,0.048780488
0000-0002-0084-0910,0,0,1,0,0,3,1,0.032608696
0000-0002-0116-7844,0,22,1,10,0.2,2,1,0.15
0000-0002-0141-0701,0,36,1,9,0.384615385,3,1,-0.384615385
0000-0002-0153-0578,0,9,1,9,0.22,0,0,-0.053333333
0000-0002-0180-1366,0,36,1,9,0.404255319,1,1,0.095744681
0000-0002-0188-5504,0,1,1,2,0.0625,0,1,0.145833333
0000-0002-0201-9122,0,2,1,2,0.103448276,0,0,0.028130672
0000-0002-0202-145X,1,20,1,4,0.37254902,0,1,-0.242114237
0000-0002-0202-5514,0,0,1,0,0,0,1,0.017241379
0000-0002-0243-9004,0,10,1,10,0.034883721,3,1,0.169661734
0000-0002-0244-2908,0,31,1,9,0.2,0,1,-0.064864865
0000-0002-0254-9000,0,1,1,3,0.034482759,3,1,0.360254083
0000-0002-0266-9774,1,14,1,8,0.146341463,0,1,0.038843722
0000-0002-0285-0207,0,3,1,5,0.130434783,0,0,0.001640689
0000-0002-0292-8799,0,0,1,0,0,0,0,0.03030303
0000-0002-0310-3078,0,20,1,7,0,1,1,0.294117647
0000-0002-0337-8848,0,30,1,9,0.65,0,0,-0.65
0000-0002-0341-2890,0,0,1,1,0.012195122,0,0,-0.012195122
0000-0002-0358-9426,1,0,1,0,0,0,1,0
0000-0002-0370-2695,0,8,1,6,0,1,1,0.75
0000-0002-0377-703X,1,2,1,3,0.039215686,0,0,0.012066365
0000-0002-0388-6391,0,2,1,4,0.041666667,0,0,-0.011363636
0000-0002-0402-4056,0,3,1,5,0.0625,0,1,-0.018055556
0000-0002-0418-7058,0,4,1,7,0.035714286,0,0,-0.035714286
0000-0002-0434-2361,0,0,1,0,0,1,1,0
0000-0002-0443-0628,0,12,1,9,0.075,0,1,0.117982456
0000-0002-0447-6060,0,0,1,0,0,3,1,0.048387097
0000-0002-0476-9189,1,2,1,1,0.042553191,0,1,-0.004091653
0000-0002-0478-0177,0,44,1,11,0.351351351,1,1,0.204204204
0000-0002-0480-7501,0,30,1,8,0.386666667,0,1,-0.158095238
0000-0002-0481-3194,0,0,1,0,0,0,0,0
0000-0002-0486-1620,0,10,1,5,0.068181818,1,1,0
0000-0002-0492-6893,0,12,1,7,0.130952381,1,1,-0.025689223
0000-0002-0493-0155,0,9,1,7,0.06779661,0,1,0.069458292
0000-0002-0498-3812,0,17,1,7,0.228571429,0,0,-0.085714286
0000-0002-0511-9225,0,21,1,7,0.206896552,0,1,0.152077807
0000-0002-0553-025X,0,33,1,14,0,0,1,0.03125
